,x_mso_km,y_mso_km,z_mso_km,r_hel_AU,di,bx_mes_nT,by_mes_nT,bz_mes_nT,time_YYYYMMDDHHmm
258,24.94862194625421,3548.430983886962,825.1378784179688,0.4646622604557558,92.1,3.949927660857483,-18.47358659675254,107.51459503173828,2012-07-16 07:42:00
259,7.8588373996553855,3657.850501117577,681.7617797851562,0.4646622604557558,92.1,2.001313188543172,-8.980845769620856,100.78569793701172,2012-07-16 07:43:00
260,-9.236788519303444,3761.6404945160884,537.33203125,0.4646622604557558,92.1,1.1513135211187038,-2.0486338524044654,95.4805145263672,2012-07-16 07:44:00
261,-26.312597065794762,3859.9950360576972,392.1221008300781,0.4646622604557558,92.1,-0.1718322041317499,5.94642107968996,93.2657241821289,2012-07-16 07:45:00
262,-43.346347381606385,3953.108374621221,246.3766632080078,0.4646622604557558,92.1,-2.6096053286814254,10.895598002282057,84.54432678222656,2012-07-16 07:46:00
263,-60.31912134126651,4041.176906034808,100.3135986328125,0.4646622604557558,92.1,-3.034549032849263,15.609202069694836,81.20390319824219,2012-07-16 07:47:00
264,-77.2143449662617,4124.3985273190265,-45.87247085571289,0.4646622604557558,92.1,-4.028300169953739,19.62055219343636,74.30915832519531,2012-07-16 07:48:00
265,-94.016568326173,4202.959999992676,-192.00909423828125,0.4646622604557558,92.1,-6.8566855970340574,22.961968331003927,73.1745376586914,2012-07-16 07:49:00
266,-110.71436730666392,4277.051884204795,-337.9436340332031,0.4646622604557558,92.1,-8.067272822649997,25.204654126247483,65.83438873291016,2012-07-16 07:50:00
267,-127.29612485317192,4346.851273722945,-483.5411071777344,0.4646622604557558,92.1,-9.770227270760016,26.54641949442896,63.96124267578125,2012-07-16 07:51:00
268,-143.75897502735097,4412.557505330618,-628.7346801757812,0.4646622604557558,92.1,-10.322996236521902,28.54327479694359,61.33063888549805,2012-07-16 07:52:00
269,-160.07723557842473,4474.271490462395,-773.2630615234375,0.4646622604557558,92.1,-3.963469836645686,25.4325194417566,56.25210571289063,2012-07-16 07:53:00
270,-176.26234137175197,4532.22753891082,-917.1912841796876,0.4646622604557558,92.1,57.94617538531291,-12.066197760356514,23.88149261474609,2012-07-16 07:54:00
271,-192.30278516006362,4586.556153025847,-1060.38671875,0.4646622604557558,92.1,58.92872117763764,-30.92998386806232,-9.052306175231934,2012-07-16 07:55:00
272,-208.19372784054576,4637.403404565912,-1202.7791748046875,0.4646622604557558,92.1,57.49925246879897,-28.03587831453285,-8.168302536010742,2012-07-16 07:56:00
273,-223.93196141481533,4684.920119014031,-1344.3070068359375,0.4646622604557558,92.1,53.73366720575674,-10.324128878716293,32.00429534912109,2012-07-16 07:57:00
274,-239.5141383685841,4729.236050457954,-1484.917724609375,0.4646622604557558,92.1,50.59717287563146,-3.7002866316328777,39.92984008789063,2012-07-16 07:58:00
275,-254.93809142058308,4770.483296405831,-1624.5662841796875,0.4646622604557558,92.1,53.93985539536386,-10.415326945784273,32.69561767578125,2012-07-16 07:59:00
276,-270.20211087612915,4808.785576794648,-1763.2122802734375,0.4646622604557558,92.1,55.1383857871864,-17.041176334720802,24.99251365661621,2012-07-16 08:00:00
277,-285.30489207059514,4844.261671119602,-1900.8223876953125,0.4646622604557558,92.1,51.586365792366884,-13.913755997903733,20.400693893432614,2012-07-16 08:01:00
278,-300.2454329878492,4877.0234665027665,-2037.3682861328125,0.4646622604557558,92.1,46.723836635120875,-10.940408644252274,21.28357315063477,2012-07-16 08:02:00
279,-315.02338075826987,4907.17739690853,-2172.824462890625,0.4646622604557558,92.1,49.748664234734726,-20.08956386413641,13.221475601196287,2012-07-16 08:03:00
280,-329.63882316820667,4934.829855892334,-2307.172607421875,0.4646622604557558,92.1,51.146616390956716,-19.04750705729242,16.663921356201172,2012-07-16 08:04:00
281,-344.09155679402465,4960.073534474673,-2440.39599609375,0.4646622604557558,92.1,50.69399429560929,-18.351585759262747,18.011524200439453,2012-07-16 08:05:00
